Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
6  4.235409e-35
7  3.228638e-20
8  1.431061e-11
9  2.815041e-6
10  0.007556
11  0.939933
12  33.0233
13  439.6527
14  3169.789
15  13883.05
16  43291.25
17  103128
18  201167
19  341458.5
20  518270.9
21  721061.2
22  936116.9
23  1.152960e+6
24  1.359648e+6
25  1.534960e+6
26  1.703851e+6
27  1.842667e+6
28  1.958136e+6
29  2.045757e+6
30  2.099850e+6
31  2.137394e+6
32  2.159836e+6
33  2.161900e+6
34  2.147595e+6
35  2.119186e+6
36  2.079399e+6
37  2.030660e+6
38  1.975191e+6
39  1.911170e+6
40  1.844294e+6
41  1.772131e+6
42  1.696422e+6
43  1.616872e+6
44  1.537520e+6
45  1.455921e+6
46  1.374097e+6
47  1.291286e+6
48  1.206431e+6
49  1.122615e+6
50  1.038298e+6
51  953178.8
52  867570.8
53  782012.6
54  694595.8
55  605192.4
56  514756.7
57  417927.3
58  318586.7
59  200253.4
60  0
