Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
12  108736.3
13  263195.7
14  562967.4
15  1.003878e+6
16  1.588917e+6
17  2.267448e+6
18  2.991374e+6
19  3.735837e+6
20  4.462076e+6
21  5.139573e+6
22  5.753026e+6
23  6.282640e+6
24  6.731315e+6
25  7.078130e+6
26  7.374593e+6
27  7.593791e+6
28  7.748371e+6
29  7.850648e+6
30  7.886959e+6
31  7.894042e+6
32  7.863106e+6
33  7.805052e+6
34  7.729436e+6
35  7.622006e+6
36  7.493416e+6
37  7.362288e+6
38  7.219294e+6
39  7.066893e+6
40  6.907196e+6
41  6.749977e+6
42  6.584296e+6
43  6.419176e+6
44  6.255505e+6
45  6.089828e+6
46  5.928476e+6
47  5.766078e+6
48  5.607451e+6
49  5.450830e+6
50  5.296781e+6
51  5.147147e+6
52  4.998822e+6
53  4.856902e+6
54  4.716172e+6
55  4.579458e+6
56  4.445676e+6
57  4.315024e+6
58  1.340306e+7
59  2.008851e+7
60  3.945968e+6
61  3.828661e+6
62  3.715354e+6
63  3.604878e+6
64  3.497748e+6
65  3.393169e+6
66  3.291632e+6
67  8.397998e+6
68  3.096187e+6
69  4.355357e+6
70  2.612176e+6
71  2.543288e+6
72  2.474419e+6
73  2.409626e+6
74  2.344424e+6
75  2.280657e+6
76  2.216637e+6
77  2.154808e+6
78  2.093504e+6
79  2.032954e+6
80  1.973637e+6
81  1.914991e+6
82  1.858426e+6
83  1.801578e+6
84  1.746587e+6
85  1.691077e+6
86  1.637382e+6
87  1.584871e+6
88  1.532584e+6
89  1.481680e+6
90  1.430830e+6
91  1.381236e+6
92  1.332483e+6
93  1.284007e+6
94  1.236792e+6
95  1.189799e+6
96  1.143985e+6
97  1.098028e+6
98  1.053150e+6
99  1.008691e+6
100  964713.4
101  921677
102  878015.3
103  835528.4
104  792919.8
105  750695.4
106  709116.8
107  666804.1
108  625701.9
109  583363
110  541990.5
111  500170.1
112  457933.3
113  416094.1
114  369677.7
115  324848
116  280309
117  236402.4
118  175112.8
119  86148.38
120  0
