Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
6  3.949869e-8
7  0.0077069
8  8.952923
9  663.4584
10  10536.33
11  41359.33
12  127926.8
13  302544.9
14  609881.6
15  1.021542e+6
16  1.511943e+6
17  2.021046e+6
18  2.504728e+6
19  2.944888e+6
20  3.321255e+6
21  3.623965e+6
22  3.852742e+6
23  4.013775e+6
24  4.113299e+6
25  4.145836e+6
26  4.153250e+6
27  4.119838e+6
28  4.059228e+6
29  3.974775e+6
30  3.865403e+6
31  3.747869e+6
32  3.623180e+6
33  3.490230e+6
34  3.352977e+6
35  3.211802e+6
36  3.067549e+6
37  2.925311e+6
38  2.784603e+6
39  2.643901e+6
40  2.506322e+6
41  2.370836e+6
42  2.237908e+6
43  2.105500e+6
44  1.978523e+6
45  1.853394e+6
46  1.731377e+6
47  1.612166e+6
48  1.494074e+6
49  1.379058e+6
50  1.266557e+6
51  1.155216e+6
52  1.045235e+6
53  936576.2
54  827401.5
55  717409.3
56  607574.3
57  491158.7
58  372797.2
59  233444.3
60  0
